Campaign_Cost_Per_Customer,Retention_Rate,Total_Campaign_Cost,Customers_Retained,Revenue_Preserved,Net_Benefit,ROI_Ratio
£10,10%,1400,14,54653.70791117634,53253.70791117634,39.03836279369738
£10,20%,1400,28,109307.41582235268,107907.41582235268,78.07672558739476
£10,30%,1400,42,163961.123733529,162561.123733529,117.11508838109215
£25,10%,3500,14,54653.70791117634,51153.70791117634,15.615345117478954
£25,20%,3500,28,109307.41582235268,105807.41582235268,31.23069023495791
£25,30%,3500,42,163961.123733529,160461.123733529,46.84603535243686
£50,10%,7000,14,54653.70791117634,47653.70791117634,7.807672558739477
£50,20%,7000,28,109307.41582235268,102307.41582235268,15.615345117478954
£50,30%,7000,42,163961.123733529,156961.123733529,23.42301767621843
