Model,CV R² Mean,CV R² Std,Holdout R²,Holdout MAE,Top-5% MAE,Train R²,Overfit Gap
Ridge (baseline),0.25103407680493284,0.014140609113031171,0.420019307762445,1361.3156262596983,14725.92020937225,0.006462883983904932,-0.41355642377854007
Random Forest,0.2518151868955612,0.014666001494359303,0.2334638478287726,1328.4786134630965,13599.71619321399,0.2254661331953982,-0.007997714633374398
XGBoost,0.2592791219093359,0.01702516891493897,0.132958048816894,1408.3801679210633,15438.379539222717,0.11057428798734104,-0.022383760829552957
